title,date,content
Cordillera farmers benefit from P556-M agri assistance,"NOVEMBER 05, 2021","RICE and vegetable farmers in the Cordillera Administrative Region (CAR) who have been affected by the recent typhoon received interventions amounting to P556,345,158 funded by the government through the Department of Agriculture (DA).

Agriculture Secretary William Dar led the OneDA family in the awarding of assistance during the launch of the Rice Competitiveness Enhancement Fund-Rice Farmers Financial Assistance (RCEF-RFFA) Program in Baguio City on October 28, 2021.

“The Rice Tariffication Law (RTL) is one of the best reforms that have happened today. The bottom line of RTL that also provides RCEF is to make the rice farmers very competitive para puwede tayong makipagtunggali sa rice farmers sa iba’t ibang bansa,” Dar said, adding that the cost of palay production will be at the level of P7 per kilogram at the end of the six-year implementation period.

Through the RFFA, rice farmers enrolled in the Registry System for Basic Sectors in Agriculture (RSBSA) with landholdings of two hectares and below will receive unconditional cash assistance worth P5,000.

The program will benefit 65,836 Cordillera rice farmers with a total cash assistance amounting to P329.18 million.

In partnership with the Development Bank of the Philippines (DBP) and SquidPay Technology Inc., the DA-CAR Field Office will start distributing to the beneficiaries the Interventions Monitoring Card (IMC) that serves as an identification card and cash card.

Dar also mentioned other salient interventions that must be further funded and supported to make local farmers more competitive, such as drying facilities and other post-harvest facilities, use of biofertilizers and biopesticides, and mass labeling of vegetables and fruits for food safety.

“Let’s make our vegetable production more efficient. Let’s lessen the cost of producing a kilo of any vegetables. That’s the only way for the long term we can be competitive with the rest of the world,” he said.

On the issue of smuggled vegetables, the agri chief said that last October, the DA, in cooperation with the Bureau of Customs, confiscated almost half a million pesos worth of vegetables and fruits.

“Gumagalaw po ang inyong gobyerno, hindi po kami natutulog. Let’s help one another. Yes, you should be a part in really identifying those illegal shippers,” he added.

During the event, Dar also awarded check and cash assistance for the calamity-affected farmers and fisherfolk in the region.

The DA-Agricultural Credit Policy Council (ACPC) approved a credit fund amounting to P10 million for the Lengaoan Indigenous Farmers Multi-Purpose Cooperative as lending conduit under the Expanded Sure Aid and Recovery Project. Small farmers and fishers may avail themselves of P20,000 interest-free loans without collateral and payable for 10 years through the Sure Program.

Additional assistance amounting to P135 million from the Quick Response Fund has been allotted for the region’s rehabilitation and recovery program to benefit the farmers and fisherfolk severely affected by Habagat and Typhoon Maring.

Polyethylene plastic sheets and various vegetable seeds worth P1,285,750 were also distributed as initial assistance under the region’s recovery program.

“Hindi po nagpapabaya ang gobyerno na tumutulong at nakahandang sumuporta sa lahat ng mga magsasaka at mangingisda,” Dar said.

The Philippine Crop Insurance Corporation (PCIC), meanwhile, paid P3,165,821 for the indemnity and claims for rice, corn, high-value crops, livestock, and credit and life term insurance.

Other interventions awarded during Dar’s visit in CAR were: 50 units of aquaponics system worth P2.75 million from the Bureau of Fisheries and Aquatic Resources (BFAR), eight hauling trucks and two refrigerated vans amounting to P21.44 million from the banner programs of DA-CAR, and P22 million worth truck-mounted water well drilling rig and support equipment.

Dar highlighted the importance of collective action and urged farmers to join cooperatives that are active both in the production and marketing of commodities and eventually in value-adding activities.

He stressed that farm clustering and cooperative development are important for higher efficiencies in operations and improved profits.

The Modernized Greenhouse with Hydroponics Project worth P950,000, four units twin tunnel greenhouse for strawberry enterprise worth P950,000, and P7,879,263 worth farm-to-market road were also turned over for the farmers in Tuba, Benguet, and Sto. Tomas, Baguio City.

“We have to plan and invest early in this protective and precision agriculture that is the way forward to continuously produce vegetables,” Dar said.

He emphasized the importance of modern and climate-resilient agriculture infrastructure both in rural and urban areas for the unhampered production of enough vegetables.

He also inaugurated the research and development facilities of the DA-CAR Technology Resource Hub amounting to P9,738,672 for the food processing facility and P12,005,650 for the plant genetic resources center funded by the Bureau of Agricultural Research. (PR)"
Cagayanos receive P199.5M worth of machines,"NOVEMBER 05, 2021","RICE farmers in Cagayan province received a total of P199.5 million worth of machinery grant under the Rice Competitiveness Enhancement Fund Mechanization Program during the turnover ceremony held on November 4 in Iguig, Cagayan.

A total of 131 units of machinery, which include a four-wheel tractor, hand tractor, floating tiller, PTO driven disc plow/harrow, precision rice seeder, walk-behind rice transplanter, riding type rice transplanter, rice combine harvester, recirculating dryer, mobile rice mill, multi-stage rice mill, and destoner, were distributed.

Around 17,427 members who belong to 112 qualified farmers’ cooperatives and associations (FCAs) are expected to benefit from the machinery grant.

Dr. Baldwin G. Jallorina, PHilMech director, graced the ceremony and encouraged the farmers to take good care of the machines. He promised them additional grants should they be good stewards.

“Sana magamit ninyo ng husto ang makinarya, pagyamanin at magamit ng mahabang panahon. At kung mataas ang utilization rate, ang challenge ko sa inyo, madadagdagan po natin yan ng postharvest facilities upang makumpleto ang mga makinarya,” Jallorina said.

“Sana ang mga ibibigay sa inyong mga makinarya ay mas lalong palakasin ang inyong samahan at hindi maging simula ng inyong hindi pagkakaunawaan,” he added.

Meanwhile, Narciso Edillo, Department of Agriculture (DA)-Cagayan executive director, challenged the farmers to also manage the machinery well for the next generation.

“Bagamat grant ito, hindi ibig sabihin ay basta basta na lang ang paggamit natin. Alagaan po natin ang mga ito upang pakinabangan pa ng mga anak at apo natin sa ating mga associations,” Edillo said.

These machines were funded under 2021 funds and the 2019 and 2020 excess funds from competitive biddings.

About 28 municipalities and one city will be covered under this batch of distributions. These areas include Alcala, Aparri, Baggao, Buguey, Gattaran, Gonzaga, Camalaniugan, Lal-Lo, Sta Ana, Sta Teresita, Abulug, Allacapan, Ballesteros, Lasam, Pamplona, Claveria, Piat, Sanchez Mira, Sto. Nino, Rizal, Sta Praxedes, Calayan, Solana, Tuao, Iguig, Amulung, Enrile, Peñablanca, and Tuguegarao City.

Lawyer Chris Beltran, representative of Representative Argel Joseph T. Cabatbat of the Magsasaka Partylist, lauded Jallorina for the accomplishments of the agency in the implementation of the RCEF Mechanization Program and coined the director as “a director with a heart for the farmers.”

Local government officials and provincial and municipal agriculturists also graced the ceremony. They all expressed their gratitude for the grants received under the program. (PR)"
Cops build restroom for sitio in Benguet,"NOVEMBER 01, 2021","WITH the coronavirus disease (Covid-19) pandemic highlighting the importance of personal hygiene, Benguet policemen built a public restroom for a small community in Tublay, Benguet.

Personnel from the 2nd Benguet Provincial Mobile Force Company constructed the restroom for the residents of Sitio Bongog in Barangay Basil while building a house for a beneficiary of their “Pabahay Handog” project.

The expenses for the restroom were sourced from contributions of the police personnel, as well as from the donations of other individuals and stakeholders.

The construction of the public restroom is expected to benefit more or less 70 residents of the sitio.

After more than a month of construction, the restroom was formally turned over to the residents last October 22.

Philippine National Police (PNP) Chief Guillermo Lorenzo Eleazar commended the PNP personnel for their initiative to better serve the small community in Sitio Bongog.

“Isa sa pangunahing pangangailangan ang pagkakaroon ng maayos at malinis na palikuran. Saludo ako sa mga pulis ng Benguet na naisipang magtayo ng public restroom para sa kanilang mga kababayan,” Eleazar said.

“Sama-sama tayong magtulungan upang maitaguyod ang pangangailangan sa bawat komunidad,” he added. (PR)"
Sagada cancels annual Nov. 1 'Panag-apoy',"OCTOBER 28, 2021","BAGUIO CITY – The usual observance of All Saints Day in Sagada, Mountain Province where the town appears to be ""on flame"" will not happen again this year after the local government unit (LGU) ordered cemeteries to be closed on November 1.

""We will not have the usual observance of November 1 where residents light a ""saleng"" (pine twig) together at the cemetery in the afternoon,"" Mayor James Pooten said.

Pooten, in a phone interview with the Philippine News Agency on Wednesday, said the municipal Inter-Agency Task Force (MIATF) adhered to the order of the national IATF to close all cemeteries nationwide to the public from October 29 to November 3.

""Because there will be nobody at the cemetery on November 1, we will not see 'saleng' lighted beside the tombs of the loved ones,"" he said.

He said they have already issued an order giving schedules to residents in the different villages for their visit to cemeteries from October 25 to 29 and will only open to villagers on November 3.

Residents from other areas with relatives in Sagada cemeteries can visit from November 3 onwards, the mayor said.

He said the ""panag-apoy"" (lighting of fire) is a practice among residents as a way to remember their dead loved ones.

It is similar to others where they light a candle, ""but in our case, we light a pine twig which emits the smell of a pine tree resin and it produces a bigger fire compared to a candle,"" Pooten said.

The ""saleng"" used to be the community's source of light in the olden times due to the absence of electricity, and is still practiced up to this day by residents as a source of light in place of candles.

As a native of Sagada, the mayor said he grew up with such practice during the afternoon of November 1.

""I am now 58, it is how we do it on that day,"" he said.

Pooten also clarified that ""panag-apoy"" is not a festival, but the locals' observance of All Saints Day. (PNA)"
"Nas Academy reconciles with Apo Whang-Od, Kalinga community","OCTOBER 24, 2021","TINGLAYAN, Kalinga -- Global online learning platform Nas Academy visited Maria Oggay, also known as Apo Whang-od, and the Butbut Indigenous Cultural Communities/Indigenous Peoples (ICCs/IPs) in Barangay Buscalan, Municipality of Tinglayan, Kalinga to formalize their reconciliation.

The customary process was arranged by the National Commission on Indigenous Peoples (NCIP) after dialogues with Nas Academy.

“The NCIP, through the Office on Education, Culture and Health (OECH) and the Office of Empowerment and Human Rights (OEHR) is mandated to ensure that the rights to cultural integrity of our ICCs/IPs are recognized, respected, promoted, and protected. After meeting with the Nas Academy team and hearing their side, it was decided to finally put this issue to rest by using the customary laws and practices on conflict resolution, healing, and reconciliation. The meeting took place in the community in Buscalan and was attended by all parties including Apo Whang-od, her family, IP Elders and community members, as well as representatives from the NCIP, House of Representatives and Nas Academy,” Nas said in a statement.

""We went to the Kalinga community to humbly pay our respects to Apo Whang-Od, her family, and the entire community. We are honored to meet with all the chiefs of the five communities of the Butbut tribe leaders of the different barangays, including Buscalan Village Chief Leon Baydon through the help of NCIP. We had an open discussion in front of the whole community to understand one another, came to a resolution and then decided on how to move forward. We are grateful to NCIP for organizing and joining us in this gathering as well as the chairperson of the House of Representatives' Committee on Indigenous Cultural Communities and Indigenous Peoples for joining us in the trip,"" added Jacqueline Maye Lim, Nas Academy head of Philippine Operations, who led her team.

The event ended with the partaking of the shared meal as a sign of healing and reconciliation according to the customs and tradition of the Butbut ICCs/IPs.

The community, through their elders thanked Nas Academy for their sincere apology and reiterated that they must follow the procedures since the art of tattooing is not solely practiced by Apo Whang-Od or the Butbut ICCs/IPs, but is also shared across the multiple ICCs/IPs in Kalinga province.

During the community meeting, Chairperson Allen Capuyan emphasized the importance of using the customary laws and practices in resolving conflict, which is restorative and not punitive, thereby attaining healing and reconciliation.

Kalinga Representative Allen Jesse Mangaoang further conveyed the request of the tribal elders that the contract previously signed by Apo Whang-od with Nas Academy be declared null and void, and this was later affirmed by Nas Academy Legal Team.

Nas Academy Country Head Josabeth ""Joji"" Alonso, who is also the lead legal counsel for the Philippines, said: ""The Philippines is very close to Nas Academy's heart, and they will always strive for truth and fairness in all their endeavors. As educators, they intend to teach by example and this initiative, which is anchored on humility and respect, is by far one of the best values they can demonstrate and teach their students.""

""Nas Academy has always been a fan of the Philippines and will always continue to be. Now that everything is behind us, I am excited for how Nas Academy will transform the way millions people learn in the Philippines and outside of it,"" said Nuseir Yassin, CEO and founder of Nas Academy.

Nas Academy aspires to build a community of Filipino educators and learners by offering courses on personal development, small business empowerment, and content creation on their platform.

Nas Academy Philippines also launched Community Classes in September, benefiting 7,000 students in its first month.

The said community classes will continue to be offered free of charge on top of courses from local and international creators, in hope of making a positive impact to the lives of Filipinos through education. (PR)"
Baguio mulls allowing entry of fully vaccinated tourists,"OCTOBER 20, 2021","BAGUIO CITY – The city government might open its borders to tourists and non-essential travelers as the coronavirus disease 2019 (Covid-19) cases here continue to drop.

Mayor Benjamin Magalong, in a media interview posted at the Public Information Office (PIO)-Baguio’s official social media page on Tuesday, said there will be an easing of restrictions. ""Hopefully, baka next week pwede na natin payagan (probably next week we might start to allow) non-essential travels but only for the fully vaccinated,” he said.

He said they first need to assure that the decrease in cases will continue before they finally decide to allow fully vaccinated tourists to visit the city again and enjoy its natural attractions.

“Kailangan muna na siguraduhin na (we need to ensure that) cases will continue to go down. Ayaw natin makita na magkakaroon na naman ng (we do not want to see that there is a) sudden increase, we might open up too early and it will create a saddle, ayaw natin mangyari yan (we do not want that to happen)” he said.

He said they also need to maintain the decline to give some respite to the health workers.

“We want to give them slack and be able to rest. The hospital situation is also improving,” the mayor said.

Based on the Department of Health’s (DOH) hospital care utilization rate (HCUR) data on Oct. 18, the city recorded an 82.34 percent bed utilization rate, and 73.21 percent mechanical ventilator utilization rate.

The DOH also recorded 98 new cases and 310 recoveries in the city on Monday that further brought the active cases to 1,559.

On October 3, the city had 4,778 cases with hundreds of new cases being recorded daily since September.

“If you remember last week I projected that this week, we will see a decrease, and it will continue to go down,” he said.

The mayor added that the city-managed Temporary Treatment Facilities (TTMF) have also been recording below 50 percent occupancy rate.

Baguio’s several TTMF has about a thousand beds catering to asymptomatic patients.

The mayor attributed the decrease in Covid-19 cases to the community’s cooperation and compliance to health and safety protocols, the cooperation of local governments that compose the LISTT (La Trinidad, Itogon, Sablan, Tuba, and Tublay) to control mobility, and the introduction of additional measures under the heightened general community quarantine classification which included the prohibition of minors and elderly above 65 years old to go out for non-essential reasons, and the restriction on the entry of non-essential travelers to the city.

The mayor said that in case the city opts to open its borders to fully vaccinated tourists, documentation will continue to be required. (PNA)"
Baguio cemeteries closed for Undas,"OCTOBER 15, 2021","BAGUIO CITY – The city government has ordered closure of cemeteries here from Oct. 30 to Nov. 3 and gave schedules when residents can visit their departed family members as a measure to prevent crowding in observance of All Saints’ Day and All Souls’ Day.

The Executive Order (EO) 124, signed by Mayor Benjamin Magalong, said, ""schedule of visits by immediate family members to their dearly departed shall be by district.""

The order also set the dates when residents may be allowed to visit the cemetery by dividing the 20 districts composed of 128 barangays into different days, with two or three districts allowed each day starting October 4 to November 30 except on the days that were declared closed by the city government.

""We are trying to avoid people from crowding at the cemeteries that is why we have set schedules so that they will not come at the same time,"" Magalong said in a media interview on Friday.

Aside from the public cemetery along Naguilian Road, there are several other private cemeteries and memorial parks that cater not only to city residents but also those from the towns of La Trinidad, Itogon, Sablan, Tuba, and Tublay (LISTT).

The order also allotted six days schedule for LISTT residents that will allow them entry into the cemetery during the two-month duration.

Magalong also reminded cemetery goers of the strict observance of the minimum public health and safety protocols while inside the cemetery.

In entering the cemetery, individuals are required to accomplish the health declaration forms and have their temperature checked.

The order also prohibits individuals who manifest flu-like symptoms from going to the cemetery.

The age restrictions prescribed by the Inter-Agency Task Force (IATF) will also be applied where children and senior citizens over 65 years old are not allowed.

The usual prohibitions like bringing in intoxicating drinks, gambling, and playing loud music are in effect. (PNA)"
"Baguio imposes liquor ban, tighter curbs as cases rise","SEPTEMBER 10, 2021","BAGUIO CITY – The city government has ordered a liquor ban starting this weekend as part of continuing efforts to curb the surge in coronavirus disease 2019 (Covid1-19) cases.

In a post on the city's official social media page on Thursday, Aileen Refuerzo, Public Information Office chief, said this is among quarantine restrictions ordered by Mayor Benjamin Magalong.

From Sept. 11 to 19, a total ban on the sale and serving of liquor and other alcoholic beverages will be in effect while indoor dine-in services are allowed to operate at 30 percent capacity.

Meanwhile, worship services are allowed at 20 percent seating capacity from Sept. 11 to 26.

“Based on this week's data as supplied by the City Epidemiology and Surveillance Unit (CESU), our seven-day average for cases per day is now 165 and we expect this to further increase in the next two weeks,” the post said.

Based on the consolidated Department of Health (DOH) Covid-19 daily tracker from Sept. 2 to 8, the city recorded 1,238 cases in seven days with the highest single-day record of 231 cases on Wednesday.

Refuerzo also said 115 out of 128 villages have recorded new infections in the last 14 days.

She said the new restrictions were reached in consultation with the affected sectors during the mayor's meeting on Sept. 8 with the local Covid-19 Inter-Agency Task Force (IATF), the Baguio Tourism Council (BTC), Department of Tourism (DOT)-Cordillera, Hotel and Restaurant Association of Baguio (HRAB) and representatives of the affected sectors.

Magalong has earlier ordered a ban on entry of non-essential travelers in the city and required authorized persons outside residence (APORs) to present official travel documents upon entry to the city and show a complete vaccination document in lieu of a negative Covid-19 test result.

In the absence of a vaccination certificate or card, the APOR must have a negative test result obtained not more than 72 hours before travel to the city. (PNA)"
More than 7.5K tourism workers in Baguio receive vax,"SEPTEMBER 02, 2021","BAGUIO CITY – About 7,510 tourism workers in this city have been vaccinated against the coronavirus disease 2019 (Covid-19), exceeding the target of almost 6,000 workers.

Tourism Secretary Bernadette Romulo-Puyat attended the three-day ceremonial vaccination program from Aug. 31 to Sept. 1 for employees of accommodation establishments, restaurants, academe and schools, as well as media practitioners, artists, and members of various community-based tourism organizations, specialized tourism product providers, and tourism-related/oriented individuals and establishments.

""The vaccination of our tourism workers will add another layer of protection for guests and staff, on top of continued adherence to health and safety protocols. With the increased confidence of people to travel, we hope to sustain the gradual growth of tourism that was started when Baguio was first reopened last October,"" Romulo-Puyat said in a news release.

Also in attendance were National Task Force Against Covid-19 (NTF) deputy chief implementer Sec. Vince Dizon, Baguio City Vice Mayor Faustino Olowan and Gladys Vergara of the Baguio Tourism Council (BTC).

The event was spearheaded by the DOT-CAR, BTC, Hotel and Restaurant Association of Baguio, and Baguio Country Club.

Puyat also served as the guest of honor during the opening of Baguio City's 112th Charter anniversary celebration on the same day.

""I wish to congratulate the city officials and staff, for organizing yet another remarkable celebration that will showcase projects and endeavors for the development of the City. While the world continues to battle with the Covid-19 pandemic, let us keep moving forward and create innovative solutions that would transcend our current challenges and limitations,"" she said. (PR/PNA)"
2nd body in Benguet landslide retrieved,"AUGUST 20, 2021","BAGUIO CITY – Rescuers have found Friday morning the body of a female who was buried in a landslide at Barangay Loacan, Itogon, Benguet.

In his report to the Police Regional Office-Cordillera, Maj. Dexter Simon, Itogon chief of police, said the body was found around 8:05 a.m. on the fourth day of rescue and retrieval operations.

The body was identified as that of Morina Simeon Lintan, 57. She, along with her live-in partner Nestor Talangcag, 54, hid behind a boulder at the river before being covered by mud during the landslide Tuesday.

Talangcag's remains were retrieved around 2 p.m. on August 19.

Dante Tomi, Talangcag's older brother, said the three of them and the couple’s son were gold panning on the river when the soil eroded from the mountain.

He and the couple’s son were able to run unhurt.

Loacan barangay chairperson Andres Cuyan said Lintan's body would be brought home to Tublay town where her family resides while the body of Talangcag is at his house in Barangay Loacan. (PNA)"
Responders continue search for 2 missing Itogon miners,"AUGUST 19, 2021","BAGUIO CITY – The Department of Social Welfare and Development (DSWD) distributed on Tuesday food packs for the rescuers still searching for two missing miners in a landslide that happened while they were gold panning at Antamok River in Itogon, Benguet.

DSWD-Cordillera Administrative Region (CAR) Director Arnel Garcia, in a post on its social media account on Tuesday, said they have given a family tent where rescuers can stay for a rest or take cover in case of rain aside from the 50 family food packs for the search, rescue, and retrieval operatives who are scouring Antamok River in Loacan, Itogon to find the two missing persons.

Around a hundred emergency responders are at the site helping find the missing persons.

Earlier, live-in partner Nestor Talangcag, 54, and Morina Simeon Lintal, 57, both residents of Beda, Loacant were reported to have been buried after they sought refuge under a boulder when a landslide occurred while they were doing gold panning activity.

The soil erosion is comparable to the major landslide that occurred in Ucab, Itogon in 2019 that buried almost a hundred people in a mining community.

Nestor’s son, Homer, 17, who was with them at that time, was able to run far enough to evade the cascading mud. He was rushed to a hospital but was immediately discharged.

The rescuers resumed rescue and retrieval operations on Wednesday morning with only one backhoe.

In an interview with Nestor’s brother, Dante Tomi, on Tuesday evening, he asked for help from government agencies and others who can extend assistance so that they can feed and provide water to the emergency responders who are looking for his missing relatives.

He also asked for an additional backhoe to supplement the one sent by the Loacan Itogon Pocket Miner's Association (LIPMA) immediately following the incident on Tuesday.

The provincial government of Benguet on Wednesday has sent the province-owned backhoe but was unable to reach the riverside. (PNA)"
Baguio locating close contacts of 2 Delta variant cases,"AUGUST 17, 2021","BAGUIO CITY – Authorities are locating the fellow passengers of a returning overseas Filipino (ROF) in a sweeper bus and the close contacts of a school employee after both were confirmed to have been infected with the Delta variant of the coronavirus disease 2019 (Covid-19).

The ROF arrived in July, underwent a 14-day isolation in Manila, and was already tagged as recovered before allowed to go home here.

Mayor Benjamin Magalong, Jr. said they want to assure the other passengers’ safety.

“We are currently conducting contact tracing of 16 passengers who rode with him in a sweeper bus to Baguio,” Magalong said in a text message on Sunday.

The Department of Health-Cordillera Administrative Region (DOH-CAR), in an advisory on Sunday, confirmed the two Delta variant cases.

The other Delta case, an employee of an English language school in Barangay Camp 7, tested positive for Covid-19 after a swab test on July 24.

Magalong said 10 of the more than 100 co-employees also tested positive, causing the city government to place the facility under hard lockdown for 10 days last month.

DOH-CAR is currently backtracking the close contacts. It was not known yet if the school employee has already recovered.

Before the Delta cases were recorded, Magalong said he was already expecting a surge in cases because of the highly transmissible variant.

The city is continuously increasing the capacity of temporary treatment and monitoring facilities, which now has over a thousand beds. This is to augment the facilities of village and private company isolation areas, and the Covid-19 wards in hospitals for symptomatic patients.

A budget of at least PHP8 million is on standby to aid hospitals that will need to purchase and stock up on oxygen, supplies, and medicines.

Starting Monday, non-essential travelers from general community quarantine (GCQ) and modified GCQ areas will be allowed entry to the city if fully vaccinated or with negative reverse transcription-polymerase chain reaction test result taken at least 72 hours prior to travel.

Entry of other non-essential travelers from areas with higher quarantine classifications remain suspended.

The city still has 407 active Covid-19 cases as of Sunday. (PNA)"
PMA moves entrance exam to September,"AUGUST 14, 2021","BAGUIO CITY – The Philippine Military Academy (PMA) on Friday announced that the entrance examination this year for applicants wanting to join the uniformed service has been moved to a later date.

Based on its official social media account, the academy said that the PMA Entrance Examination (PMAEE) 2021 scheduled from August 16 to September 19, 2021 was modified.

""The PMAEE will be administered from 02 September to 02 October 2021,"" it said.

The academy has identified 10 testing centers on September 2 to 4 at Tabuk City, Bontoc Mountain Province, Tuguegarao City, Gamu Isabela, Bayombong Nueva Vizcaya, Laoag City, Vigan City, Cabanatuan City, Tarlac City, Legazpi City, Naga City, Lucena City, Lipa Batangas, Los Banos Laguna, Sangley Point Cavite and Clark Pampanga.

On September 16 to 18, the PMAEE will be held in Davao City, Tagum City, Mati Davao Oriental, Bayugan City, Cagayan de Oro City, Cotabato City, Kidapawan City, Tacurong City, General Santos City, Zamboanga City, Pagadian City, Dipolog City, Ozamis City, Iligan City, San Jose Occidental Mindoro, Phil. Army headquarters at Fort Bonifacio, Philippine Air Force headquarters at Villamor Air Base, Camp Aguinaldo in Quezon City, Puerto Princesa City, Baguio City, and Lingayen in Pangasinan.

The last examination schedule will be from September 30 to October 2 at Kalibo Aklan, Iloilo City, Bacolod City, Dumaguete City, Catbalogan City, Tacloban City, Tagbilaran City, Cebu City, and Manila.

The academy administration said that the change in schedules is to avoid problems that may be encountered by examinees whose residences are in higher community quarantine classifications.

""The IATF (Inter-Agency Task Force) guidelines published last July 29 raised the risk-level classifications of provinces, highly urbanized cities (HUCs), and independent component cities (ICCs) where some of the PMAEE testing centers were affected,"" it said.

It also said that the cadet recruitment and admission no longer accept online applications as well as mailed applications.

""Interested applicants who were not able to submit may still take the PMA Entrance Examination as walk-in applicants,"" it added.

Aspiring of the country's premier military institution must be a natural-born Filipino citizen, physically fit and of good moral character, single and has never been married nor pregnant nor have a legal obligation to support a child or children, at least Senior High School graduate, no administrative or criminal case, at least 5 feet in height for both male and female, at least 17 years old and not more than 22 years old on June 1 of the year of admission.

A cadet receives the following benefits and privileges: free college education with a well-rounded curriculum, monthly pay, and allowances, progressive career as an officer in the Army, Air Force, or Navy, specialized professional training for military, exceptional training, and billeting facilities with all training requirements provided.

Foremost, a PMA cadet will have the chance to have the noble profession of serving the country. (PNA)"
